Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,2.722596821827121,50
55,148,1.7703773959370932,142
54,70,1.1886183652922715,54
53,41,1.000059079386436,32
52,24,1.026100596243195,23
51,121,1.5207664003043044,119
50,84,0.9337079831098268,23
49,142,1.085504998651745,25
48,146,0.8440370610907554,36
47,215,0.6487924107431221,61
46,160,0.5409370561554817,124
45,56,0.5832283871778496,28
44,1208,0.5912170805495043,1203
43,147,0.6155538523475051,9
42,611,0.34428750783009154,608
41,70,,
40,1,,
39,2,,
38,2,0.7189368985135562,1
37,6,,
36,27,1.3163420906318417,26
35,5,,
34,13,0.34390136300232543,4
33,16,0.8288986234662161,1
32,12,0.7322373911146267,8
31,54,0.2809897762311343,27
30,7,,
29,9,0.5045653357489402,6
28,4,0.3046617676832102,2
27,12,0.6243601374349248,6
26,6,,
25,66,0.45117855530763445,14
24,2,,
23,3,,
19,1,,
16,1,,
