Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,51,,
55,150,0.6101563235712193,145
54,71,0.2267391352315911,58
53,35,0.16408926768696322,30
52,26,0.1486674165026222,23
51,120,0.21039581218801537,118
50,84,0.14565041276966365,22
49,145,0.4753674587294949,27
48,148,0.26060495657579247,40
47,209,0.1718910292929568,59
46,164,0.10405229581997241,126
45,51,0.23412941567119813,25
44,1204,0.12344794422940912,1196
43,154,0.15204031529876574,9
42,609,0.1090978831374199,606
41,72,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,12,1.2731917038697689,3
33,17,0.017561519501985146,1
32,12,0.380012176834306,8
31,53,0.08736009122642861,26
30,8,,
29,7,0.157382514282275,4
28,6,0.08011105025280463,2
27,13,0.16054425425017355,7
26,6,0.2318472199288366,1
25,66,0.12507061547023093,15
24,1,,
23,3,,
19,1,,
16,1,,
