Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,53,,
55,151,0.9032485068217512,148
54,67,0.5121753306047057,57
53,36,0.4042576024981781,30
52,25,0.5003749366886898,22
51,113,0.330205931012702,110
50,97,0.31721802781001096,27
49,137,0.46015695372210264,24
48,152,0.303450845004904,41
47,206,0.24050812822016354,57
46,161,0.1919245328264289,121
45,61,0.13684321821997425,30
44,1216,0.19103269679044554,1213
43,136,0.15167638047635595,8
42,597,0.08485387674749414,593
41,85,,
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,,
34,11,0.12908237347807905,2
33,18,0.3174241784158518,1
32,12,0.1643797112826245,8
31,54,0.06377400705042996,27
30,7,,
29,8,0.09592396969333969,5
28,5,0.08615265582785425,2
27,13,0.09882904372026043,7
26,6,0.041986327397835366,1
25,66,0.07630708979688032,15
24,1,,
23,3,,
19,1,,
16,1,,
