Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,54,4.314625500205601,53
55,141,1.442220968967033,138
54,79,1.1144741294920273,59
53,32,1.0919868660785135,28
52,28,1.1618391230874274,23
51,115,1.1257263728892972,113
50,93,0.7617610458251517,26
49,139,1.1866353944911487,25
48,150,1.1112506482103433,40
47,211,1.0523307760940146,61
46,164,1.1138492740434285,128
45,49,1.129639950686577,25
44,1216,0.9654162393317336,1208
43,143,0.8889469532196947,10
42,606,0.9191486850074811,604
41,74,,
40,1,,
39,2,,
38,2,3.2084348615217593,1
37,7,,
36,27,,
35,4,,
34,13,0.5596793601384444,4
33,16,1.1323613130857737,1
32,11,1.4166772259529052,7
31,51,1.0445957804706463,23
30,11,,
29,9,0.9858129974063957,6
28,3,1.1900042114036204,1
27,14,1.1167278572272619,7
26,6,1.7101884218356702,1
25,63,1.5499770238093542,12
24,4,,
23,3,,
19,1,,
16,1,,
