Iteration,SampleCount,P_RADIUS,P_RADIUS_Weight
56,50,,
55,151,1.465948038446875,145
54,72,1.1239616480342813,59
53,35,1.1721152598948419,31
52,22,1.2687096509314784,20
51,121,0.96697702156886,116
50,90,0.8300021963680527,26
49,140,1.644698176484927,26
48,150,1.1013058971625769,41
47,211,1.1680253757564347,62
46,165,1.0778035265387127,130
45,51,1.1798505089139126,29
44,1192,0.9764087301110898,1188
43,162,0.7191632886342813,9
42,608,0.9313621675237249,605
41,73,,
39,4,1.5095824392060344,3
38,1,,
37,7,,
36,28,,
35,3,,
34,13,0.5187501586872859,4
33,16,1.149534172604854,1
32,8,1.0214798286722762,4
31,58,0.6315031829119361,27
30,7,,
29,8,0.38725076862292657,5
28,5,1.3496820471925555,2
27,11,0.31564514476319505,5
26,8,0.39553470362137544,1
25,66,0.4216477372148983,15
24,1,,
23,3,,
19,1,,
16,1,,
