Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,,
55,144,0.5551772661870503,139
54,78,0.15066999999999997,59
53,34,0.19318566666666656,30
52,27,0.1345200000000004,24
51,108,0.10403299065420549,107
50,97,2.383388851898734,79
49,134,1.1073686702290078,131
48,142,0.6680481664122137,131
47,211,0.6621975573056993,193
46,172,0.2029682293333333,150
45,56,0.3664253571428573,35
44,1204,0.04580371490818028,1198
43,154,0.013701111111111115,9
42,613,0.011240983142389629,611
41,68,10.6995833,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.014816672000000128,25
35,6,1.455498999999999,3
34,12,,
33,16,0.56215882,15
32,13,0.20502259166666725,12
31,50,,
30,10,0.7476081250000001,4
29,8,0.053532571428571485,7
28,5,0.7386493333333338,3
27,14,1.6675762307692306,13
26,6,,
25,64,,
24,3,,
23,2,,
22,1,,
19,1,,
16,1,,
