Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,,
55,144,4.561311223021582,139
54,75,4.795716090085287,56
53,39,5.1107090625,32
52,23,4.095244855243826,22
51,122,5.3492487160509095,119
50,84,3.93573807322294,78
49,124,4.670425408295822,120
48,160,5.7051868404918435,138
47,201,5.192368177052912,190
46,170,6.154575582823416,145
45,66,6.202899902322526,40
44,1207,6.078136633916895,1206
43,148,2.506712765838587,11
42,606,,
41,73,4.947820222814676,4
39,4,1.56387438037012,3
38,1,,
37,7,,
36,22,,
35,8,8.173624018535435,2
34,14,2.4901828627005105,13
33,15,,
32,12,4.470736574293545,11
31,50,3.837693206220224,49
30,12,6.12006438187285,5
29,9,,
28,3,,
27,11,5.7445862299538435,10
26,7,5.193714245323925,4
25,66,5.412480082049223,64
24,3,,
23,3,,
19,1,,
16,1,,
