Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,52,4.773061635756395,51
55,145,1.9906463000894008,140
54,78,1.3634796389342299,60
53,34,0.9420086131950323,31
52,26,1.6981802023214674,24
51,111,1.4374907267338728,110
50,87,1.84905205402392,72
49,143,1.5095567924523434,133
48,143,0.8440672887476317,134
47,213,1.0930620797735944,198
46,168,0.7221055852727872,151
45,58,0.740842533876622,38
44,1206,0.601700990225654,1203
43,150,0.3531910548715001,10
42,604,0.3323207680781573,603
41,74,8.64776878902435,2
40,3,0.7140607120063218,1
39,3,,
38,1,,
37,7,,
36,27,,
35,4,2.3422445619650536,3
34,11,,
33,17,1.2976644044225967,15
32,11,1.2727067038600952,10
31,53,0.861925887074528,51
30,10,1.775416345447468,5
29,8,,
28,4,0.4784509068853094,3
27,9,2.224188059893618,8
26,11,1.8788635697088878,6
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
