Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,,
55,147,0.30278573856296415,142
54,72,0.1634672563987318,56
53,39,0.24816205687253953,32
52,25,0.3169089685878856,24
51,115,0.16449021382254236,114
50,85,1.8121958910202178,74
49,134,1.169786378112505,126
48,150,0.7154121226131384,134
47,210,0.6503220208137259,195
46,176,0.2905545930731822,156
45,49,0.4714356525449052,34
44,1211,0.1289184601455811,1204
43,149,0.08750692480483016,10
42,605,0.07342278056251271,604
41,74,11.275073499503915,3
40,2,0.19927559093605662,1
39,3,,
37,8,0.39301098594798306,7
36,25,,
35,6,0.47394201900425575,3
34,10,,
33,19,0.8611437703575194,16
32,10,,
31,50,0.4288596723066582,48
30,13,1.2250848892026418,5
29,9,,
28,4,,
27,13,,
26,6,,
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
