Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,50,,
55,151,0.9168367032448763,145
54,69,0.49640141284679,56
53,39,0.4330636245907444,32
52,22,0.5136143675360404,21
51,117,0.34312088661109724,113
50,91,2.316560217553938,79
49,122,1.2388812943583691,119
48,164,0.7211615258899119,141
47,204,0.6765420187635519,196
46,175,0.3284960623015861,156
45,53,0.313364378030992,38
44,1190,0.13708483740303376,1187
43,165,0.06788923808652957,9
42,616,0.06018955976479057,614
41,64,9.6693897875991,3
40,2,0.2973117179985145,1
39,3,,
38,1,,
37,6,,
36,26,0.22928584671135835,25
35,6,2.165667697059011,3
34,9,,
33,18,0.6606520953401293,14
32,14,0.33850164518641795,12
31,47,,
30,13,0.6135367139309323,4
29,9,0.1573535230886953,8
28,5,0.4985516313170349,4
27,11,,
26,8,2.069317215501151,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
