Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,149,1.5130858589942624,142
54,76,1.0582496210897,60
53,33,1.1775322939069524,30
52,24,1.089536322542609,21
51,119,1.1595271248209857,115
50,84,2.5637401314388746,74
49,138,1.2755738621129933,130
48,145,1.1107890630642436,133
47,209,1.0636034937057288,193
46,170,0.7652472898689975,148
45,59,0.8367666586644146,36
44,1198,0.46134522742302436,1193
43,161,0.5613817242979232,11
42,611,,
41,66,5.823600010113527,2
40,3,1.2434113799448472,1
39,3,,
38,1,,
37,6,,
36,24,1.2197438956833322,23
35,8,2.07129416383583,3
34,12,,
33,16,0.9618041308314503,15
32,11,1.122099842880415,10
31,58,0.8050687655418638,56
30,5,,
29,8,,
28,5,0.7713072516184827,4
27,13,,
26,6,,
25,62,,
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
