Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,54,,
55,148,1.3926824523478571,146
54,73,1.0797037268407508,61
53,27,1.2314382123553897,25
52,30,1.3062131609097898,22
51,110,0.9066761598009241,107
50,91,2.8683594145808886,73
49,130,1.4326596920353472,121
48,158,1.156956777889601,137
47,210,1.118026066361762,198
46,179,0.7979130882403095,162
45,46,0.8122993154203878,37
44,1192,0.45453406874355107,1188
43,166,0.5941125164308508,11
42,615,,
41,63,7.2889931497676725,3
40,2,1.176513186361344,1
39,3,,
38,1,,
37,7,,
36,26,,
35,5,2.0115781056111053,3
34,12,,
33,16,1.007782107450512,15
32,12,1.2242898436579968,11
31,48,0.8408258503425196,47
30,13,1.1970046145265512,4
29,8,0.4235870061337807,7
28,5,0.42424426779453545,3
27,11,1.3313451126954443,10
26,9,1.8011345218034436,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
