Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,0.09499242857142856,49
55,152,0.03216464137931034,145
54,72,0.005647454545454542,55
53,35,0.0025013793103448277,29
52,25,0.0015923809523809512,21
51,125,0.001947272727272726,11
50,79,0.4001806609661017,59
49,130,0.10315771311475411,122
48,151,0.025298847457627113,118
47,215,0.03282017679005526,181
46,174,0.003091392147058821,153
45,48,0.0031908695652173944,23
44,1343,0.0018476744069767458,43
43,16,0.0,1
42,603,0.005016267446725199,602
41,76,,
40,1,,
39,3,,
38,1,,
37,5,0.0006233333333333299,3
36,30,,
35,3,,
34,10,0.003339666666666671,6
33,17,0.1348727142857143,14
32,12,0.009500000000000008,1
31,54,0.013773043478260864,23
30,9,0.010000000000000047,5
29,9,0.003267499999999971,8
28,3,,
27,14,0.006957142857142807,7
26,5,,
25,63,0.04060930232558137,43
24,5,,
23,3,,
19,1,,
16,1,,
