Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,50,,
55,143,0.12375505357142856,137
54,78,0.08554816271722493,53
53,33,0.07207768440614626,25
52,30,0.059017739672881916,22
51,124,0.06705360508416966,11
50,78,1.461794647588313,58
49,136,0.8630848309224441,127
48,146,0.5808985224167179,118
47,209,0.7262330729258618,175
46,178,0.4150805924350992,151
45,54,0.3467108977473694,27
44,1340,0.3424743906119707,44
43,15,0.8085270238028328,1
42,601,0.3060053113259411,600
41,78,,
40,1,,
39,3,,
38,1,,
37,7,0.22503452897749227,5
36,28,,
35,3,,
34,13,0.24854860258867675,9
33,14,,
32,14,0.6892990032983562,3
31,56,0.6380187754714313,27
30,4,,
29,9,0.5558729128480236,7
28,5,1.6200999999999999,4
27,12,0.9290166666666667,6
26,7,2.1777918310278843,6
25,65,1.6156609054760973,46
24,2,,
23,2,,
22,1,,
19,1,,
16,1,,
