Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,0.12995126283729108,51
55,143,0.01719703621810332,138
54,75,0.0037218472790109956,51
53,39,0.0025943321657694563,29
52,25,0.0019526537246120964,21
51,126,0.0011127972385143702,12
50,74,2196584.0886969273,55
49,136,1.845817968156863,124
48,147,0.9304654122033678,116
47,213,0.16053169569582115,177
46,170,0.16180237154243612,145
45,55,0.5503758671681387,22
44,1345,0.5583015006806057,44
43,15,0.5616590375716565,1
42,619,0.5498364830151872,618
41,60,,
40,1,,
39,3,,
38,1,,
37,7,0.4148838291830213,5
36,28,,
35,3,,
34,10,0.375146761924343,6
33,18,1.2731886199514377,15
32,13,0.7557088432737727,3
31,54,0.7644281926149992,25
30,7,0.8040055589127039,5
29,9,0.7621970777712633,8
28,4,,
27,12,0.9278042971587683,6
26,7,1.98891123118949,6
25,62,1.3854294661651427,43
24,5,,
23,3,,
19,1,,
16,1,,
