Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,52,0.651493275213403,50
55,156,0.07725603678929588,150
54,66,0.04247919009412864,54
53,36,0.08345737799186555,29
52,22,0.09511012333139708,18
51,128,0.025448456994558,11
50,77,0.13811870378715715,57
49,133,0.07746846423562553,123
48,152,0.06421877885822878,120
47,211,0.0422609126786608,179
46,168,0.03554498921087881,145
45,58,0.0502524675674098,25
44,1341,0.028338864989255107,43
43,16,0.16832358977433048,1
42,597,0.024170388875298477,596
41,82,,
40,1,,
39,2,,
38,2,0.036812982789266376,1
37,7,0.037887298791883205,5
36,28,,
35,3,,
34,13,0.08420158911387345,9
33,15,,
32,13,0.04317777758867669,3
31,56,0.06421655947680843,27
30,4,,
29,9,0.03834608759345975,7
28,5,0.08513812330962936,4
27,13,0.12628076048175413,7
26,4,,
25,67,0.13726781225987286,46
24,2,,
23,3,,
19,1,,
16,1,,
