Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,0.1256788,50
55,142,0.4652475298304671,136
54,77,0.44552687628021503,51
53,38,0.4639671191593733,28
52,26,0.47460315482766485,21
51,127,0.45911005014817197,13
50,77,0.662458450799393,59
49,138,0.332699592662121,130
48,148,0.3661159366783547,123
47,204,0.37509296701253897,175
46,172,0.45833449656328323,145
45,59,0.46468620634716523,26
44,1339,0.48221015229519365,42
43,16,,
42,607,0.45527285690386565,605
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.4358153299143518,5
36,28,,
35,2,,
34,14,0.46205911076941714,9
33,15,,
32,12,0.3577014856925749,2
31,52,0.30617060650370725,22
30,9,0.27083691250144215,4
29,9,0.4106771131651865,7
28,5,0.5474637238498488,4
27,13,0.33631621215944846,7
26,6,,
25,65,0.2910256034683414,46
24,2,,
23,3,,
19,1,,
16,1,,
