Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,53,,
55,143,0.4907309747747613,140
54,73,0.4651796962352705,51
53,37,0.47813287566977714,27
52,28,0.5007554234157956,22
51,122,0.4703581391374242,9
50,81,0.6468975940749837,59
49,132,0.3779856755015011,124
48,155,0.3908784109392842,124
47,202,0.3809259512422744,174
46,179,0.4233822343354157,151
45,51,0.41132916038495865,24
44,1340,0.4297206292159004,41
43,18,0.167901977117902,1
42,613,0.4219049414770934,612
41,66,,
40,1,,
39,2,,
38,2,0.4337010817991905,1
37,6,0.33404619731389096,4
36,29,,
35,2,,
34,12,0.3980549765956902,7
33,17,0.4624199599650954,15
32,13,0.2598400352841443,3
31,51,0.28878000313710556,22
30,8,0.3298407509345513,3
29,10,0.35769402657833316,7
28,5,0.34861716614105,4
27,13,0.19351344634115808,7
26,5,,
25,62,0.22700235749439146,42
24,6,,
23,3,,
19,1,,
16,1,,
