Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,52,,
55,141,0.014075737226277373,137
54,76,0.01577360594545455,55
53,36,0.008516181010714285,28
52,27,0.0018983792863636346,22
51,117,0.01105034847368421,114
50,83,0.38522549056805555,72
49,136,0.08970663484126984,126
48,153,0.018997071941605836,137
47,206,0.032421821999999996,194
46,171,0.004374538970000001,150
45,57,0.017288055750000003,36
44,1232,0.02057770115566422,1227
43,125,0.010119886222222239,9
42,603,0.000599242311148086,601
41,77,0.09842026666666667,3
40,2,0.0,1
39,3,,
38,1,,
37,7,0.0007141936000000085,5
36,28,,
35,3,,
34,9,,
33,19,0.05435355800000002,15
32,10,0.15126971642857143,7
31,53,0.013854794952380945,21
30,11,0.0008156460000000004,5
29,8,,
28,4,0.016369433333333374,3
27,13,0.013126160025000012,12
26,7,0.04285000000000002,6
25,62,,
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
