Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,49,,
55,154,0.05918423129251701,147
54,67,0.05356137726785714,56
53,38,0.0369312319967742,31
52,23,0.0248854724,21
51,117,0.023689844428318584,113
50,86,0.8139798510108108,74
49,137,0.2795203973351938,129
48,145,0.19131170966757577,132
47,206,0.12355417092973546,189
46,182,0.04606222015512821,156
45,54,0.06514589577805129,39
44,1207,0.06191575492257925,1205
43,147,0.08415760203111111,9
42,611,0.032079705201155995,609
41,70,0.07408457799999996,4
40,1,,
39,2,,
38,2,0.010716000000000003,1
37,6,0.04867530646,4
36,29,,
35,3,,
34,11,,
33,17,0.41845904200000006,15
32,13,0.21106344153919995,10
31,49,0.09924587838903993,20
30,12,0.18953326035999996,5
29,9,,
28,4,,
27,10,,
26,9,1.3613639162,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
