Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,,
55,150,5.077490152465434e-14,145
54,69,0.0018631108642028099,56
53,37,0.004690995023880111,30
52,27,0.0034245998396884593,24
51,113,0.011723683864648062,112
50,89,0.012015567386421979,76
49,131,0.021259237334077915,125
48,147,0.15638778166413667,130
47,207,0.48038956265766114,188
46,182,0.27915723522544245,155
45,49,0.45981064072422473,33
44,1222,0.34615528203965384,1214
43,140,0.21464782491525997,11
42,605,,
41,74,1.021173691559021,4
39,4,0.38252416733286465,3
38,1,,
37,6,0.24035908456235427,4
36,29,,
35,2,,
34,13,0.29798752671464873,12
33,17,1.4954983668766928,16
32,11,0.7368908988689911,9
31,52,0.5874054292913893,22
30,10,0.6697732885778963,5
29,9,,
28,4,,
27,12,,
26,7,1.9261361590747634,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
