Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,0.3572501547527935,49
55,146,0.2064905506512613,139
54,72,0.1942883658519616,53
53,39,0.12218351921043787,29
52,25,0.12621798436967308,21
51,119,0.1400871624439138,115
50,79,0.26855321145950234,69
49,144,0.2605673052890155,131
48,135,0.1700717691912463,124
47,212,0.11891420134899393,187
46,180,0.09131351130190557,152
45,56,0.09686061879428526,37
44,1232,0.10544652871684396,1228
43,125,0.1088748914706775,10
42,609,0.054220512154145334,608
41,71,0.17821125605600266,4
40,1,,
39,2,,
38,2,0.06040256415680109,1
37,7,0.16658686489909028,5
36,28,,
35,3,,
34,12,,
33,17,0.10783899905890962,16
32,11,0.1139336159848146,9
31,54,0.06573897597071454,24
30,7,0.04422624045625144,4
29,9,0.04513290559293691,8
28,5,0.2918938294660128,4
27,12,,
26,7,0.21041921728821034,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
