Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,50,,
55,150,0.05922160866098458,144
54,65,0.027470431102819735,51
53,42,0.02776038819559382,30
52,27,0.023729735794345598,24
51,109,0.01807522435668598,108
50,94,0.3467340364896844,77
49,131,0.03855750404481648,126
48,151,0.018289294945646857,135
47,202,0.013291291448143842,188
46,184,0.00927290601065124,157
45,51,0.015999632764270046,37
44,1221,0.011219669945607486,1217
43,135,0.015184571823638814,9
42,602,0.0038293269134918053,600
41,79,0.013256654808331676,4
40,1,,
39,1,,
38,3,0.008622874004813638,1
37,6,0.009005657392557449,4
36,29,,
35,3,,
34,13,,
33,16,,
32,11,0.02204080979093558,9
31,56,0.011724701486958176,26
30,5,0.016414286882861395,4
29,10,0.006339440098061648,9
28,3,,
27,14,0.03916897104960638,13
26,6,,
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
