Iteration,SampleCount,P_SEMI_MAJOR_AXIS_EST,P_SEMI_MAJOR_AXIS_EST_Weight
56,51,,
55,151,0.4555453171770877,146
54,72,0.44308195740374495,60
53,30,0.4511065979485583,27
52,27,0.47708122499048417,21
51,118,0.4524456590148253,114
50,85,0.5942953171854486,74
49,131,0.31880492252796605,123
48,150,0.35405141448456273,131
47,213,0.3538945156020482,195
46,179,0.4235070794788873,159
45,53,0.41075394462439796,41
44,1206,,
43,148,0.4136538983123895,11
42,603,,
41,76,0.577441846989905,4
40,1,,
39,3,,
38,1,,
37,6,0.3746979723526394,4
36,29,,
35,2,,
34,12,0.4397149265822669,11
33,16,0.3321932952875978,14
32,11,0.30755489536061353,7
31,53,0.33666934139376414,21
30,10,0.33194688733445193,4
29,9,0.39012097043688015,8
28,4,0.5736023465237616,3
27,11,0.3612376798578308,10
26,9,0.8033596764666013,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
