Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,54,299.0186521153846,52
55,143,72.18186870503597,139
54,75,19.591936071428584,56
53,36,18.099266896551722,29
52,24,13.706877500000001,20
51,119,17.96721684210527,114
50,85,57.09925131081082,74
49,137,27.216302596899226,129
48,148,14.036548740740745,135
47,209,11.519606651282047,195
46,173,8.607967424836602,153
45,54,6.104786111111105,36
44,1209,8.702632749169432,1204
43,148,11.203773333333324,9
42,610,2.53829458881579,608
41,71,1.7018300000000153,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
