Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,,
55,148,143.24278234408263,142
54,73,512.7316310497073,57
53,37,102.03254406858869,31
52,25,250.21462654519047,23
51,118,210.81582031154227,116
50,85,4855186578.297447,76
49,137,144.43787527360092,131
48,150,19583.791584144437,139
47,193,23083544.11630782,183
46,191,126182969.26963043,159
45,50,56894936.13874728,38
44,1207,2003199.9798921153,1204
43,150,2574293.8812152003,11
42,591,,
41,88,1948657.3422002,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
