Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,45,684.155554753149,43
55,160,266.495497846783,147
54,69,131.38228405743277,58
53,35,202.66730818337544,30
52,24,123.48885363882287,21
51,115,146.13770185595303,111
50,87,147.33883881364252,73
49,141,145.41388192406595,132
48,145,144.58093683653044,135
47,204,88.50793838624831,190
46,175,85.22105402973676,150
45,55,109.70341299850442,34
44,1216,129.48601893514967,1209
43,144,109.1227799006676,10
42,612,101.1781340309779,611
41,67,39.89056590488065,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
