Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,49,,
55,144,151.85113703447342,137
54,79,110.72666071064634,58
53,35,101.28837031870175,30
52,27,106.75775047132032,24
51,110,88.07706819300053,109
50,90,144.02164594643858,74
49,132,130.21845796058912,124
48,153,141.6239432400703,135
47,210,94.92137297074929,196
46,176,101.91675923684069,157
45,49,93.19239860743457,35
44,1223,127.94918329380589,1217
43,137,79.02745148780528,11
42,596,,
41,82,88.17899455881617,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
