Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,293.85846962253265,49
55,153,165.8986146586639,146
54,71,137.8229535355528,59
53,33,155.02174105625954,29
52,24,157.2383735059996,20
51,114,124.78055003376569,109
50,92,147.40191034867578,76
49,134,138.14388050782557,128
48,146,138.21626839479043,132
47,210,107.09891353106227,193
46,175,106.9043533648926,153
45,57,100.51822413850526,39
44,1211,127.50026786267306,1209
43,144,83.95195194548818,10
42,601,115.39859310224749,600
41,79,46.05714044986654,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
