Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,48,285.3194803993441,47
55,150,175.210045581935,141
54,76,160.4133458396724,59
53,35,177.92862269482703,31
52,23,121.8154083930867,21
51,121,129.0154478555406,117
50,80,157.82585498817892,72
49,139,134.87768204523874,129
48,145,127.59573452901014,132
47,210,116.1483929236692,193
46,173,114.3947983767876,151
45,56,111.89624020439388,36
44,1220,140.57519904892914,1215
43,136,99.1292426262257,8
42,603,122.01704756109235,600
41,79,135.17157690488693,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
