Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1265.5125000000116,8
55,158,1741.1333333333023,3
54,63,1899.8999999999069,2
53,33,,
52,25,,
51,125,,
50,71,2561.5975000000444,40
49,140,3124.4545454545455,77
48,154,2726.558730158711,63
47,222,2184.4749999999185,8
46,172,3672.0,1
45,40,1840.4000000003725,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1948.9666666666355,9
33,15,2360.499999999967,14
32,13,2401.75,2
31,56,4277.870000000019,10
30,5,406.6500000001397,2
29,9,,
28,4,7221.199999999721,1
27,13,5503.700000000186,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
