Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,52,13558.581923770369,4
55,162,13702.79296465218,3
54,63,5613.639358212007,2
53,33,,
52,25,,
51,125,,
50,77,32957.58310974213,46
49,137,6368.1495917079565,80
48,148,7251.193372832619,60
47,225,7287.286030644318,8
46,172,3386.5122444480658,1
45,41,7972.649855718482,3
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3499.609923399519,8
33,14,8473.570252454336,12
32,15,1534.6163800098002,2
31,55,3201.389767382501,9
30,6,10200.614398173057,2
29,9,,
28,4,4300.7864717268385,1
27,13,8377.66005522944,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
