Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,8058.365326450007,7
55,159,2228.27772202172,3
54,62,3290.9511018805206,1
53,34,,
52,25,,
51,125,,
50,77,9029.033845727554,46
49,138,4488.902233043599,81
48,146,4195.358394305593,59
47,227,4485.3835885592525,9
46,171,4814.8354663793,1
45,41,2692.4740666016005,3
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,5450.979094043581,9
33,14,5812.603224077513,13
32,13,2272.722657043487,1
31,54,5088.216235881671,7
30,8,1242.2800656137988,2
29,9,,
28,4,18915.346065405756,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
