Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,1183.2642050577329,5
55,161,1559.177873191579,3
54,63,1872.2798482312355,2
53,33,,
52,25,,
51,125,,
50,74,2046.8710777324538,43
49,142,3371.6476899247914,82
48,149,2343.4425322534,63
47,222,1281.5282968682004,8
46,172,1217.3952049505897,1
45,40,108.0138024808839,2
44,1344,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,2850.4627787293202,7
33,16,4772.28206729742,13
32,14,3478.7001836285926,2
31,55,4927.45060054694,9
30,6,4462.965855941875,2
29,9,,
28,4,4587.485864294227,1
27,13,2634.074674466625,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
