Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1424.5214285715483,7
55,158,1810.6999999999534,2
54,64,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,74,1394.0941860464748,43
49,140,3871.73918420226,80
48,148,2517.089700507978,60
47,225,1660.6452446316252,8
46,172,4459.540068124887,1
45,41,2322.1534384811916,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,3076.9948195331317,9
33,13,1980.6712026118767,12
32,14,1908.727030199021,1
31,56,4303.8352115191,9
30,6,4619.511383353965,2
29,9,,
28,4,1459.1063917549327,1
27,13,3457.3797220569104,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
