Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,1.3582245,48
55,156,0.3934681815540541,148
54,66,0.16475968410714287,56
53,36,0.12621427472413793,29
52,28,0.06598389747083334,24
51,113,0.24914543473214285,112
50,89,0.13024805544736842,76
49,137,0.07680441921221375,131
48,146,0.059625543562962985,135
47,213,0.06426639826783918,199
46,170,0.05258314316405229,153
45,52,0.056309908823529396,34
44,1199,0.05608839355956374,1192
43,160,0.02764091533333328,9
42,675,,
41,4,0.051077300000000214,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.071103341,1
34,13,0.002689308500000062,4
33,16,0.07952731160000003,10
32,12,4.440892098500626e-16,2
31,55,0.03466223321428576,14
30,6,,
29,9,,
28,4,,
27,13,0.3893716999999999,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
