Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,45,,
55,151,1.661513790407423,140
54,76,1.6684728014492332,58
53,32,1.850796581217679,27
52,29,1.6082411690554506,23
51,111,1.6458002095187096,109
50,93,1.7159500718338507,77
49,132,1.397623097834097,127
48,149,1.270868586201339,134
47,207,1.3937105570494093,192
46,180,1.639191447666186,156
45,52,1.437043149626674,37
44,1212,1.264178784712392,1208
43,145,1.4795530436820934,10
42,675,0.9277813879271399,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.941462486878145,1
34,13,1.2266894975457456,4
33,16,1.5241055239999999,10
32,12,2.2922529605,2
31,55,1.1679839088154078,14
30,6,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
