Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,,
55,144,0.4701262937580602,138
54,81,1.6423698273579272,61
53,28,0.4395396135203037,26
52,29,0.7764254504534251,22
51,118,0.6072718477108052,115
50,82,92973841.84369883,72
49,140,32.168071206302955,130
48,146,2.5802433545244337,134
47,214,0.6406505767652032,199
46,168,0.6421480875710627,151
45,54,1.5531433782348802,34
44,1211,1.333436797109072,1204
43,147,1.6129789030932928,8
42,677,1.0398317591590363,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,2.0012012059780258,1
34,13,1.2120496750916598,4
33,16,1.4809622851070479,10
32,12,2.342702708458269,2
31,55,1.0955731078727469,14
30,6,,
29,9,,
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
