Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,55,1.7759964974464253,53
55,147,0.8434148569507769,144
54,73,0.7931302605419661,59
53,34,0.7319561441358807,30
52,28,0.8052843914531246,25
51,110,,
50,90,1.1010472927299142,75
49,134,0.9013355852665653,127
48,142,0.8930424722745308,127
47,218,0.6044314310892517,196
46,179,0.6122713210277483,159
45,48,0.35953906314417977,36
44,1202,0.5331963048015079,1197
43,156,0.21522609055024744,10
42,675,0.001298079577876976,1
41,3,,
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,0.6254943793030393,3
33,16,0.6314817935302546,9
32,13,0.5319092115355214,2
31,55,0.30355217597763695,14
30,6,,
29,9,,
28,4,,
27,13,0.09244838067848438,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
