Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,50,,
55,142,0.947786465131922,136
54,81,0.6083750007642916,59
53,34,0.20153903787074365,30
52,26,0.9312801874492338,23
51,116,0.5748631612833973,114
50,85,0.806907194212262,74
49,137,0.7052683922716098,129
48,151,0.6359520084512988,138
47,203,0.516208421517064,192
46,172,0.5627148483524489,148
45,59,0.5273873591762428,36
44,1208,0.4443171165398459,1203
43,149,0.6186551755762374,9
42,676,1.1059560451413046,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,1.156543842757131,1
34,13,1.124372609687771,4
33,16,0.503954730713331,10
32,12,0.44751756128852915,2
31,56,0.6491321081895999,15
30,5,,
29,9,,
28,4,,
27,13,0.7888770040004303,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
