Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,52,,
55,147,1.1018891301813885,143
54,74,0.7437501696765407,59
53,33,0.86088593331621,29
52,25,0.7507359346462623,21
51,118,0.7582156610371404,114
50,81,1.0396155243906662,70
49,135,0.9788228919085772,123
48,150,0.871011396365159,131
47,213,0.8456795534007362,195
46,172,0.8683594691609647,151
45,57,0.7575770985701341,37
44,1213,0.8005442349354757,1209
43,143,0.48705213901291783,9
42,676,0.5040885006892295,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.4761395538315394,1
34,13,0.3115127445434012,4
33,16,0.6929071735096709,10
32,12,0.7329657808778074,2
31,54,0.39585720606273495,13
30,7,,
29,9,,
28,4,,
27,13,0.3169999183276473,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
