Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.3386363636363634,44
55,149,1.5660869565217392,138
54,76,1.079,40
53,35,0.9733333333333334,18
52,26,0.6999999999999997,5
51,121,1.075,28
50,82,0.7920754641509433,53
49,134,0.9140581395348837,86
48,159,1.593777777777778,27
47,213,0.7895161290322582,31
46,175,0.9062222222222222,9
45,40,0.4387500000000003,4
44,1215,0.8060380090497736,1105
43,140,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,3.0735714285714293,7
33,18,1.7899999999999994,4
32,12,0.0,1
31,56,0.45800000000000035,5
30,5,0.0,1
29,9,0.167,1
28,4,,
27,13,,
26,6,0.20000000000000018,1
25,67,,
23,3,,
19,1,,
16,1,,
