Iteration,SampleCount,S_AGE,S_AGE_Weight
56,51,2.204311111111111,45
55,142,2.4950319264069263,132
54,80,2.9425264297106404,38
53,37,2.627313837241895,18
52,26,2.572909933277867,5
51,123,1.4866298704312628,30
50,79,2.1938910837839787,52
49,136,2.4441477180250675,87
48,155,2.4376068334223207,24
47,217,2.337691175971402,32
46,172,2.438297839642903,7
45,42,2.835,4
44,1227,1.122744127078014,1117
43,128,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,1.0640867868753476,1
37,7,,
36,28,,
35,3,,
34,12,2.8062500000000004,8
33,17,1.2350018282683333,4
32,12,0.5405079535920958,1
31,54,1.6198839393981215,3
30,7,1.459366989723435,1
29,9,4.4559432478565,1
28,4,,
27,13,,
26,6,0.542347207761182,1
25,67,,
23,3,,
19,1,,
16,1,,
