Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,3.4203347840282183,45
55,149,3.8081230107400055,139
54,72,13.884135010748295,37
53,39,12.368641197806909,19
52,25,4.253162648296357,5
51,122,99.56881951377311,29
50,81,1766289918.241399,53
49,138,38897.9972826891,90
48,153,445917.09745620895,25
47,214,245509.22490717165,30
46,176,39083.60597206086,9
45,41,39560.238112534564,5
44,1213,36542.25707978562,1104
43,141,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,1881.744925296048,7
33,17,2808.7154431819276,3
32,13,7074.783662263686,1
31,56,8807.45246644061,5
30,5,3519.526450982015,1
29,9,19265.635431916922,1
28,4,,
27,13,,
26,5,,
25,68,,
23,3,,
19,1,,
16,1,,
