Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,2.513916165518789,48
55,146,1.687715976623173,139
54,74,1.1745134766686467,39
53,36,1.5080984656005574,18
52,24,1.6858159532490367,3
51,123,1.1385391059577556,28
50,83,1.28203127679899,54
49,135,1.1255259300455225,88
48,155,1.320571399358379,25
47,213,1.1514221701029372,29
46,176,1.8244175670445555,8
45,42,1.8079232180793612,5
44,1214,0.7677060274841135,1105
43,140,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1.1040974840460067,9
33,15,0.8999703169156583,3
32,12,,
31,55,1.4438671129763516,3
30,7,0.9365918786043492,1
29,9,5.821466570560549,1
28,4,,
27,13,,
26,6,0.35909682498420636,1
25,67,,
23,3,,
19,1,,
16,1,,
