Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,52,,
55,151,183.8691836734694,147
54,67,190.8867857142857,56
53,37,137.20033333333333,30
52,28,110.22919999999999,25
51,116,,
50,84,82.16853333333333,75
49,133,64.31484126984127,126
48,147,76.41694656488549,131
47,204,46.11408602150538,186
46,180,59.62854304635762,151
45,56,128.48833333333334,36
44,1224,328.52830870279143,1218
43,134,140.45600000000002,10
42,599,146.02939799331105,598
41,81,25.39,4
40,1,,
39,3,,
38,1,,
37,6,,
36,28,170.3062962962963,27
35,4,6.4433333333333325,3
34,13,,
33,14,,
32,13,186.01,11
31,55,65.97055555555556,54
30,5,182.92333333333335,3
29,10,63.376250000000006,8
28,4,2444.0299999999997,3
27,11,325.16900000000004,10
26,8,3330.002,5
25,56,2542.630181818182,55
24,12,,
23,3,,
19,1,,
16,1,,
