Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,147,685.0063004319567,140
54,76,1013.4823368347224,58
53,35,659.0088983462241,30
52,25,1235.6513281030245,22
51,117,816.4876214846164,114
50,85,200866165044.26117,74
49,128,100328.5747197777,120
48,159,187106.7675511562,137
47,201,1968312.7473978894,189
46,184,367893102.5312986,158
45,48,2947326628.872637,35
44,1226,38498453880.07108,1219
43,134,4214693419.680727,11
42,601,,
41,78,851254722932.9935,4
40,1,,
39,3,,
38,1,,
37,6,,
36,24,5854688592.197388,23
35,8,3015836776254.0767,3
34,13,,
33,16,,
32,11,,
31,53,52294233249.56093,52
30,9,9453905853.621077,5
29,7,,
28,6,5006278877.597246,4
27,11,,
26,6,3718875685.2688475,4
25,59,1113294165.7517192,57
24,10,,
23,3,,
19,1,,
16,1,,
