Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,147,278.20404403933946,140
54,73,366.8312362172902,55
53,39,169.64996872144596,31
52,27,277.4733586630925,25
51,113,,
50,86,721.136537824224,74
49,132,258.24897540227374,124
48,158,341.43882355923984,140
47,196,188.3267325262546,187
46,178,139.9970156616133,150
45,59,260.69455419994097,38
44,1225,288.7673817582785,1221
43,131,315.6149247377986,10
42,600,222.7453226675859,599
41,80,121.34686482702683,4
40,1,,
39,2,,
38,2,307.0695474558972,1
37,7,,
36,22,,
35,8,430.4355276060643,2
34,14,516.3946210014146,13
33,13,,
32,15,742.3869236096912,12
31,50,,
30,11,279.91238468051915,5
29,8,,
28,3,1110.3022518063058,2
27,14,1052.6369624345352,12
26,7,3149.675768141735,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
