Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,55,979.5766020803413,53
55,144,259.1909927466728,141
54,76,191.6251018847249,59
53,31,262.71851981118954,27
52,27,201.48761154837536,21
51,115,170.71029912425863,111
50,89,497.5047874916849,75
49,130,251.55148496033576,123
48,159,210.85682607551462,140
47,212,142.95504646852132,203
46,163,94.0019727986694,151
45,56,169.92451039161577,36
44,1210,179.74387640219732,1204
43,147,152.88110265608086,9
42,606,146.9519333450477,604
41,75,222.05729635945207,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,220.0209507224392,25
35,6,172.22548799502718,3
34,9,,
33,18,135.80938995238972,14
32,13,474.5833554884267,11
31,49,117.83973541589383,48
30,13,193.39141699080596,5
29,8,,
28,4,2406.021121914652,3
27,13,798.2928764475962,12
26,7,2856.977382654607,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
