Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,51,271.52993466752133,50
55,153,182.49251833597117,147
54,62,203.2981149558879,51
53,40,123.01081979847535,28
52,27,129.34717923020793,22
51,120,113.47935671725624,117
50,83,263.2245457854814,75
49,133,111.84882285930462,126
48,150,183.5279506383545,134
47,207,110.33432953508746,192
46,178,135.15204992394445,155
45,55,163.0558841291316,39
44,1216,223.5475559241784,1213
43,140,220.8439830276423,11
42,604,,
41,75,157.77433615474771,4
40,1,,
39,3,,
38,1,,
37,6,,
36,22,191.547901557905,21
35,9,122.52129000599454,2
34,13,496.2587436953206,12
33,15,170.38461872043675,14
32,13,470.7558802066249,11
31,49,143.99878293992788,48
30,12,160.03893233613147,4
29,10,272.88848839183635,9
28,4,,
27,13,,
26,6,,
25,57,,
24,10,,
23,3,,
18,1,,
16,1,,
