Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,54,,
55,150,393.93498372583844,148
54,70,372.1119009696883,60
53,34,350.7706862762343,31
52,24,352.24433212360844,22
51,114,498.9193375984124,111
50,87,553.0166298933556,73
49,139,433.5677479872532,130
48,141,467.2426062258676,129
47,209,420.450217760803,189
46,182,538.7805068919904,156
45,52,439.8859847567737,37
44,1214,334.5321083046835,1209
43,142,491.90231112401153,9
42,608,345.1778012174935,606
41,72,339.4033294203661,3
40,1,,
39,3,515.2563667628389,2
38,2,636.782979747644,1
37,7,,
36,27,,
35,4,229.62591800662756,3
34,12,,
33,14,231.2401698227182,13
32,14,508.2840138916959,11
31,47,317.85653022955677,46
30,14,250.96704072406217,4
29,8,474.4122671845624,7
28,4,3381.502334720418,2
27,14,1093.2668400106731,12
26,6,2131.3422158200406,5
25,60,1959.1633100724196,59
24,8,,
23,3,,
19,1,,
16,1,,
