Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,54,,
55,149,0.1206361742857143,147
54,66,0.030442286727272727,55
53,39,0.051171326774193525,31
52,24,0.07304650772727271,22
51,118,0.027851358434782595,115
50,83,0.03806734643835616,73
49,135,0.025595638063492087,126
48,150,0.03101842,134
47,207,0.01603726009375002,192
46,177,0.011525041337662334,154
45,53,0.01165118333333337,36
44,1219,0.007627948797364091,1214
43,140,0.001765232727272692,11
42,599,,
41,78,0.0004911999999999139,2
40,3,,
39,3,,
38,1,,
37,7,0.0010284000000000404,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.0004911999999999139,1
31,53,0.0009361160000000002,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
