Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,51,,
55,146,0.6773299171033967,141
54,73,0.7629984110515204,56
53,38,0.7845831639582791,31
52,25,0.9211504999980592,23
51,113,0.7033904615083367,111
50,89,0.7376254150617345,75
49,134,0.8381600333734119,127
48,144,0.937325007055951,129
47,214,0.836883539253895,194
46,170,0.9488654222258419,149
45,59,0.8677156968726764,37
44,1213,0.5324428081000627,1209
43,143,0.5941617061004516,9
42,614,0.5545577728766043,612
41,67,0.8411542074812426,4
40,1,,
39,3,,
38,1,,
37,7,0.09149411756613901,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.8995649817389506,2
31,55,0.5090996042317397,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
