Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,50,,
55,148,1.0457622131321912e-10,142
54,71,2.041466787535998e-09,55
53,38,4.166814007413218e-06,30
52,25,2.0467241049537677e-05,22
51,113,0.0023784011316835014,110
50,94,0.750999813673178,79
49,130,0.7682221156412711,127
48,151,0.9488749921196109,136
47,202,0.8264638984725747,189
46,176,0.9380139719787342,150
45,59,0.8694341812323602,38
44,1228,0.5067662008906686,1225
43,128,0.5142060768118077,10
42,599,0.547900456039449,598
41,80,0.843977675877256,3
40,2,,
39,3,,
38,1,,
37,7,0.098219842762867,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.9053400498190048,2
31,53,0.5368381884956211,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
