Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,49,0.4539425718657985,48
55,150,0.1868086250785076,142
54,75,0.17554124456633668,59
53,35,0.20023367163586672,31
52,24,0.0994704376663476,22
51,118,0.18781378097187973,115
50,87,0.31706297812435885,77
49,129,0.20023894301621342,124
48,152,0.17313622488362926,134
47,207,0.12385349984015255,192
46,181,0.08203066133955401,158
45,50,0.12143939145250882,37
44,1205,0.12737779495050217,1201
43,152,0.1334466171728806,10
42,610,0.09826941650836905,609
41,70,0.4919363477355776,4
40,1,,
39,3,,
38,1,,
37,6,0.013591162869587947,1
36,26,0.0980231297252656,25
35,6,,
34,13,,
33,16,,
32,12,0.06895247439589047,2
31,55,0.0944755375600404,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
