Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,54,,
55,144,0.10043351600419934,142
54,73,0.05761947511575234,57
53,38,0.05103853882309781,32
52,23,0.08583127349251665,22
51,112,0.07032704519461197,109
50,90,0.18836169802929825,74
49,139,0.11557676992445559,131
48,148,0.08658691825848415,137
47,199,0.0615397685391803,187
46,180,0.03785135472375114,152
45,58,0.06633399269903333,39
44,1206,0.041523584167098476,1204
43,149,0.019982316975246495,10
42,606,0.025560246276967107,605
41,74,0.08132470496414257,4
40,1,,
39,3,,
38,1,,
37,7,0.03500905758037787,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.05760038170540582,2
31,56,0.02408276170082473,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
