Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,53,0.5038802636692136,51
55,150,0.0452667425974271,145
54,71,0.030855059597236764,58
53,33,0.021893483065650785,28
52,25,0.04956942860753288,20
51,120,0.025824985408513083,115
50,83,0.03742870556855665,73
49,134,0.019957980905988063,125
48,152,0.01650482978747297,135
47,208,0.010004551525943678,194
46,181,0.007859012154028408,160
45,44,0.008882819319332245,33
44,1222,0.005283053287075004,1214
43,139,0.004564301257111397,10
42,604,0.005401759826713156,603
41,75,0.0055030667071744865,3
40,2,,
39,3,,
38,1,,
37,7,0.008463086796894337,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.005745961396583565,2
31,53,0.0028910552101655573,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
