Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,48,,
55,159,0.42809787739636995,151
54,65,0.4565465039284922,58
53,34,0.4787010039352382,29
52,29,0.5749388725835256,25
51,110,,
50,89,0.47287080186060126,74
49,128,0.4704197636095829,120
48,157,0.5600864994074978,135
47,205,0.5102037886177977,191
46,178,0.57619292391538,154
45,54,0.5376899752321528,37
44,1208,0.32171802008629696,1204
43,148,0.3797850084382803,9
42,614,0.34162135231334845,612
41,67,0.5234085038585761,4
40,1,,
39,3,,
38,1,,
37,7,0.04700207699727421,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.5529218451075758,2
31,54,0.30832074580896557,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
