Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,53,0.5294268549636731,52
55,149,0.058267286403523605,145
54,69,0.03058277546716379,56
53,38,0.036075831567915696,31
52,26,0.05995521642968258,24
51,114,0.030957895928422106,113
50,85,0.11147753216569209,73
49,138,0.05156796535293794,129
48,147,0.04281382841377992,134
47,208,0.034411504295129076,193
46,177,0.021789978056500812,155
45,52,0.017519982390763942,36
44,1197,0.018601577122913177,1192
43,160,0.019750571654224516,9
42,621,0.01616616912488299,619
41,59,0.3657906724707884,3
40,2,,
39,3,,
38,1,,
37,5,,
36,29,0.04285773223899971,27
35,4,,
34,13,,
33,16,,
32,11,0.018988245511816215,1
31,55,0.011430560345835748,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
