Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,51,,
55,150,0.027683962669215904,145
54,72,0.01794623697684268,59
53,33,0.011927600225534733,29
52,28,0.016847331741582993,24
51,115,0.016806695622981222,114
50,81,0.02206204831207296,70
49,139,0.01218518112931744,127
48,144,0.010131943171215059,129
47,209,0.007561133179505143,189
46,181,0.006138015580816444,155
45,50,0.007306365029819093,34
44,1223,0.004806680050151394,1216
43,138,0.004230848348687901,11
42,607,,
41,72,0.003723015124083795,4
40,1,,
39,3,,
38,1,,
37,7,0.0024069682358912603,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.007975335892648427,2
31,54,0.003235445342977946,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
