Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,47,,
55,155,0.15438600740563654,146
54,68,0.15185182832061,56
53,37,0.18075908799516985,30
52,26,0.1792168969205841,23
51,111,0.12982523121679243,109
50,89,0.1748924347915175,73
49,131,0.16194171494636866,122
48,155,0.1400509243123672,135
47,211,0.15887288459216006,197
46,175,0.17433664034240826,157
45,51,0.20194351879466982,37
44,1207,0.12005932352130028,1203
43,149,0.14957113076166303,9
42,620,0.12392991411034024,618
41,60,0.2725480997603009,3
40,2,,
39,3,,
38,1,,
37,7,0.06622487112582948,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.29414264944892055,2
31,51,0.12042616925092318,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
