Iteration,SampleCount,S_HZ_CON0_MIN,S_HZ_CON0_MIN_Weight
56,54,0.4027758917993857,52
55,145,0.19604875719211884,141
54,77,0.19299733479693604,60
53,34,0.22451595659359302,31
52,25,0.26864434465318304,23
51,118,0.15861203324971565,116
50,87,0.2171930361350367,78
49,124,0.18196308972719794,120
48,153,0.1773440372320914,131
47,208,0.1911636000984431,190
46,177,0.1787503334883079,152
45,52,0.18989076274008218,33
44,1226,0.1356640613311516,1218
43,136,0.15214783520152741,11
42,604,,
41,75,0.01468324452756714,4
40,1,,
39,3,,
38,1,,
37,7,0.08594286957565911,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.025436138735014602,1
31,56,0.097966380994453,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
