Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
58,59,1.9957214548802218,56
57,176,2.0874712109375304,161
56,94,1.9099196867733794,76
55,53,1.8615602175170836,48
54,33,1.8683682607078138,30
53,145,2.3932693853731024,144
52,142,121650.32353106221,134
51,207,3.6419779548700704,196
50,197,2.684133701715395,176
49,268,4.367248497430709,242
48,189,1.2358834826866987,165
47,66,1.9095138132043843,44
46,1240,1.6300279463625171,1235
45,151,1.2010798168308305,11
44,610,1.58142341178685,609
43,72,2.456716222201161,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,1.7427215447277935,1
38,30,1.777233303508041,29
37,6,,
36,17,,
35,22,,
34,14,2.541517239575585,2
33,59,1.5549558460369666,26
32,10,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
