Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,51,,
55,150,0.2634313382188487,145
54,67,0.27757284981522207,54
53,41,0.31475382006714797,32
52,25,0.31593058542767016,24
51,107,0.20913888775512016,106
50,92,0.27015162841971263,73
49,138,0.27342573192447606,129
48,145,0.24792487860326662,132
47,209,0.26952722825261083,192
46,180,0.2865399498435274,157
45,50,0.3339632945454667,36
44,1219,0.2173077536351685,1214
43,140,0.23083909470709119,11
42,605,,
41,74,0.46583663709986667,4
40,1,,
39,3,,
38,1,,
37,7,0.10659966941999977,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.48642568970386946,2
31,52,0.19485100352894524,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
